LinkID,SampleID,HomeID,Type,PM25mass,Validity,Mass_mg,Volume_m3,comments,datestarted,dateended,PM25mass_flag
NJ002120,10043,NJ102,OUTDOOR,14.9,NULL,0.434,29.0993,"","1999-06-23 00:00:00","1999-06-25 00:00:00",
NJ002130,20041,NJ102,"PERSONAL ADULT",63.7,NULL,0.523,8.21184,"","1999-06-23 00:00:00","1999-06-25 00:00:00",
NJ003110,10044,NJ103,INDOOR,22.3,NULL,0.6545,29.304,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
NJ003120,10045,NJ103,OUTDOOR,12.1,NULL,0.358,29.6825,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
NJ003130,20039,NJ103,"PERSONAL ADULT",48.2,NULL,0.4295,8.91315,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
NJ005110,10105,NJ105,INDOOR,31.4,NULL,0.863,27.5032,"","1999-08-10 00:00:00","1999-08-12 00:00:00",
NJ005120,10048,NJ105,OUTDOOR,25.4,NULL,0.74,29.122,"","1999-08-10 00:00:00","1999-08-12 00:00:00",
NJ005130,20071,NJ105,"PERSONAL ADULT",66,NULL,0.5625,8.526,"","1999-08-10 00:00:00","1999-08-12 00:00:00",
NJ006110,10107,NJ106,INDOOR,21.3,NULL,0.6185,29.0924,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
NJ006120,10108,NJ106,OUTDOOR,17.3,NULL,0.5055,29.1746,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
NJ006130,20073,NJ106,"PERSONAL ADULT",82.2,NULL,0.737,8.96969,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
NJ007110,10123,NJ107,INDOOR,27.4,NULL,0.796,29.0117,"","1999-09-07 00:00:00","1999-09-09 00:00:00",
NJ007120,10121,NJ107,OUTDOOR,36.3,0,1.002,27.5655,"Harvard outdoor pouring rain interfered the outdoor unit setup","1999-09-07 00:00:00","1999-09-09 00:00:00",
NJ007130,20081,NJ107,"PERSONAL ADULT",44,NULL,0.408,9.27875,"","1999-09-07 00:00:00","1999-09-09 00:00:00",
NJ008110,10137,NJ108,INDOOR,17.6,NULL,0.509,28.8599,"","1999-09-28 00:00:00","1999-09-30 00:00:00",
NJ008120,10138,NJ108,OUTDOOR,15.9,NULL,0.474,29.719,"","1999-09-28 00:00:00","1999-09-30 00:00:00",
NJ008130,20095,NJ108,"PERSONAL ADULT",61.3,NULL,0.5525,9.0086,"","1999-09-28 00:00:00","1999-09-30 00:00:00",
NJ009110,10162,NJ109,INDOOR,15.7,NULL,0.434,27.6645,"","1999-09-30 00:00:00","1999-10-02 00:00:00",
NJ009120,10163,NJ109,OUTDOOR,11.4,NULL,0.3155,27.6027,"","1999-09-30 00:00:00","1999-10-02 00:00:00",
NJ009130,20096,NJ109,"PERSONAL ADULT",20.9,NULL,0.178,8.51992,"","1999-09-30 00:00:00","1999-10-02 00:00:00",
NJ009140,20097,NJ109,"PERSONAL CHILD 1",38.4,NULL,0.344,8.9632,"","1999-09-30 00:00:00","1999-10-02 00:00:00",
NJ010110,10166,NJ110,INDOOR,9.4,NULL,0.2665,28.3524,"","1999-10-06 00:00:00","1999-10-08 00:00:00",
NJ010120,10165,NJ110,OUTDOOR,11.2,NULL,0.323,28.728,"","1999-10-06 00:00:00","1999-10-08 00:00:00",
NJ010130,20113,NJ110,"PERSONAL ADULT",151.5,NULL,1.359,8.96875,"","1999-10-06 00:00:00","1999-10-08 00:00:00",
NJ010140,20111,NJ110,"PERSONAL CHILD 1",0.7,0,-42.4605,9.19191,"Personal child-filter was not received","1999-10-06 00:00:00","1999-10-08 00:00:00",ND
NJ011110,10026,NJ111,INDOOR,18.3,NULL,0.5165,28.2917,"","1999-10-19 00:00:00","1999-10-21 00:00:00",
NJ011120,10027,NJ111,OUTDOOR,15.2,NULL,0.427,28.1479,"","1999-10-19 00:00:00","1999-10-21 00:00:00",
NJ011130,20023,NJ111,"PERSONAL ADULT",23.3,NULL,0.212,9.11106,"","1999-10-19 00:00:00","1999-10-21 00:00:00",
NJ012110,10179,NJ112,INDOOR,13.1,NULL,0.377,28.7402,"","1999-10-26 00:00:00","1999-10-28 00:00:00",
NJ012120,10178,NJ112,OUTDOOR,14.2,NULL,0.413,29.1131,"","1999-10-26 00:00:00","1999-10-28 00:00:00",
NJ012130,20121,NJ112,"PERSONAL ADULT",28.6,NULL,0.2695,9.41221,"","1999-10-26 00:00:00","1999-10-28 00:00:00",
NJ013110,10198,NJ113,INDOOR,14.4,NULL,0.412,28.6392,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
NJ013120,10199,NJ113,OUTDOOR,14.6,NULL,0.425,29.0965,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
NJ013130,20118,NJ113,"PERSONAL ADULT",24.4,NULL,0.223,9.15352,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
NJ013140,20117,NJ113,"PERSONAL CHILD 1",34.2,NULL,0.306,8.93568,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
NJ014110,10203,NJ114,INDOOR,13.9,NULL,0.3775,27.1772,"","1999-11-01 00:00:00","1999-11-03 00:00:00",
NJ014120,10204,NJ114,OUTDOOR,20.2,0,0.48,23.7528,"""Harvard outdoor pump ran 40 hrs, probably due to the loose connection to the wa","1999-11-01 00:00:00","1999-11-03 00:00:00",
NJ014130,20138,NJ114,"PERSONAL ADULT",73.4,0,0.357,4.86552,"BGI duration difference=20.4 hrs","1999-11-01 00:00:00","1999-11-03 00:00:00",
NJ015110,10225,NJ115,INDOOR,9.9,NULL,0.27,27.356,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
NJ015120,10226,NJ115,OUTDOOR,10.1,NULL,0.2895,28.7395,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
NJ015130,20135,NJ115,"PERSONAL ADULT",22,NULL,0.1975,8.98678,"","1999-11-03 00:00:00","1999-11-05 00:00:00",
NJ016110,10232,NJ116,INDOOR,29.2,NULL,0.864,29.5447,"","1999-11-08 00:00:00","1999-11-10 00:00:00",
NJ016120,10231,NJ116,OUTDOOR,25,NULL,0.726,28.986,"","1999-11-08 00:00:00","1999-11-10 00:00:00",
NJ016130,20154,NJ116,"PERSONAL ADULT",67.6,NULL,0.634,9.38352,"","1999-11-08 00:00:00","1999-11-10 00:00:00",
NJ017110,10260,NJ117,INDOOR,14.5,0,0.355,24.5604,"Harvard indoor duration difference=8.05 hrs","1999-11-10 00:00:00","1999-11-12 00:00:00",
NJ017120,10261,NJ117,OUTDOOR,15.7,NULL,0.429,27.3738,"","1999-11-10 00:00:00","1999-11-12 00:00:00",
NJ017130,20177,NJ117,"PERSONAL ADULT",15.4,NULL,0.136,8.81225,"","1999-11-10 00:00:00","1999-11-12 00:00:00",
NJ018110,10233,NJ118,INDOOR,12.4,NULL,0.3425,27.5959,"","1999-11-15 00:00:00","1999-11-17 00:00:00",
NJ018120,10234,NJ118,OUTDOOR,6.7,NULL,0.191,28.4213,"","1999-11-15 00:00:00","1999-11-17 00:00:00",
NJ018130,20175,NJ118,"PERSONAL ADULT",96.5,NULL,0.859,8.89714,"","1999-11-15 00:00:00","1999-11-17 00:00:00",
NJ019110,10267,NJ119,INDOOR,25.9,NULL,0.7365,28.4397,"","1999-11-17 00:00:00","1999-11-19 00:00:00",
NJ019120,10268,NJ119,OUTDOOR,24.7,NULL,0.658,26.6191,"","1999-11-17 00:00:00","1999-11-19 00:00:00",
NJ019130,20199,NJ119,"PERSONAL ADULT",109.8,0,0.8565,7.80038,"BGI flow change 23%","1999-11-17 00:00:00","1999-11-19 00:00:00",
NJ020110,10262,NJ120,INDOOR,6.6,NULL,0.1945,29.3328,"","1999-11-29 00:00:00","1999-12-01 00:00:00",
NJ020120,10263,NJ120,OUTDOOR,6.5,NULL,0.182,27.9598,"","1999-11-29 00:00:00","1999-12-01 00:00:00",
NJ020130,20202,NJ120,"PERSONAL ADULT",106.4,0,0.9555,8.97726,"BGI many visible fibers on the filter","1999-11-29 00:00:00","1999-12-01 00:00:00",
NJ021110,10293,NJ121,INDOOR,10,NULL,0.285,28.5948,"","1999-12-06 00:00:00","1999-12-08 00:00:00",
NJ021120,10294,NJ121,OUTDOOR,10.1,NULL,0.284,28.0486,"","1999-12-06 00:00:00","1999-12-08 00:00:00",
NJ021140,20217,NJ121,"PERSONAL CHILD 1",67.8,NULL,0.586,8.64171,"","1999-12-06 00:00:00","1999-12-08 00:00:00",
NJ022110,10303,NJ122,INDOOR,0.7,NULL,0.0225,33.6818,"","1999-12-20 00:00:00","1999-12-22 00:00:00",
NJ022120,10302,NJ122,OUTDOOR,13.8,NULL,0.405,29.2842,"","1999-12-20 00:00:00","1999-12-22 00:00:00",
NJ022130,20226,NJ122,"PERSONAL ADULT",17.7,NULL,0.158,8.93789,"","1999-12-20 00:00:00","1999-12-22 00:00:00",
NJ023110,10504,NJ123,INDOOR,18,NULL,0.512,28.3768,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ023120,10505,NJ123,OUTDOOR,10.1,NULL,0.2805,27.8273,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ023140,20364,NJ123,"PERSONAL CHILD 1",125.8,0,1.118,8.88813,"BGI filter contains visible fibers","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ024110,10360,NJ124,INDOOR,4.9,NULL,0.1325,26.9835,"","2000-01-26 00:00:00","2000-01-28 00:00:00",
NJ024120,10361,NJ124,OUTDOOR,7.3,NULL,0.195,26.6595,"","2000-01-26 00:00:00","2000-01-28 00:00:00",
NJ024130,20260,NJ124,"PERSONAL ADULT",34.3,NULL,0.3045,8.88064,"","2000-01-26 00:00:00","2000-01-28 00:00:00",
NJ025110,10363,NJ125,INDOOR,6.4,NULL,0.177,27.5518,"","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ025120,10330,NJ125,OUTDOOR,14.5,0,0.15,10.3548,"""Harvard outdoor unit was turned off when field team arrived. According to the C","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ025130,20263,NJ125,"PERSONAL ADULT",237.9,0,1.3415,5.63825,"""BGI PAM off for most of the 1st day (unknown reason, duration difference=989 mi","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ026110,10367,NJ126,INDOOR,7.8,0,0.199,25.6319,"Harvard indoor flow change 17.5%","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ026120,10362,NJ126,OUTDOOR,13.8,NULL,0.3895,28.1698,"","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ026140,20264,NJ126,"PERSONAL CHILD 1",74.7,NULL,0.6745,9.03275,"","2000-02-01 00:00:00","2000-02-03 00:00:00",
NJ027110,10501,NJ127,INDOOR,34.1,NULL,1.0445,30.6622,"","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ027120,10502,NJ127,OUTDOOR,20.9,0,0.546,26.1364,"Harvard outdoor flow change 20%","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ027130,20362,NJ127,"PERSONAL ADULT",76.2,0,0.663,8.69899,"BGI filter contains visible fibers","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ027140,20363,NJ127,"PERSONAL CHILD 1",112.3,0,0.9845,8.76825,"BGI filter contains visible fibers","2000-03-29 00:00:00","2000-03-31 00:00:00",
NJ028110,10372,NJ128,INDOOR,30.6,NULL,0.863,28.2162,"","2000-02-15 00:00:00","2000-02-17 00:00:00",
NJ028120,10371,NJ128,OUTDOOR,15.8,NULL,0.4705,29.7414,"","2000-02-15 00:00:00","2000-02-17 00:00:00",
NJ028130,20269,NJ128,"PERSONAL ADULT",47.7,0,0.398,8.34438,"BGI Tygon tubing to the pump air inlet was bent. May be invalid. Battery died on","2000-02-15 00:00:00","2000-02-17 00:00:00",
NJ029110,10390,NJ129,INDOOR,24.3,NULL,0.671,27.6088,"","2000-02-23 00:00:00","2000-02-25 00:00:00",
NJ029120,10392,NJ129,OUTDOOR,29.7,NULL,0.847,28.5377,"","2000-02-23 00:00:00","2000-02-25 00:00:00",
NJ029130,20284,NJ129,"PERSONAL ADULT",62,0,0.411,6.63264,"BGI duration difference=670 min","2000-02-23 00:00:00","2000-02-25 00:00:00",
NJ030130,20281,NJ130,"PERSONAL ADULT",135.9,NULL,1.174,8.63912,"BGI concentration is pretty high for personal (136.9 ug/m3).","2000-02-29 00:00:00","2000-03-02 00:00:00",
NJ031130,20367,NJ131,"PERSONAL ADULT",30.7,NULL,0.275,8.95879,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ032130,20296,NJ132,"PERSONAL ADULT",69.5,NULL,0.631,9.08566,"","2000-03-08 00:00:00","2000-03-10 00:00:00",
NJ033130,20322,NJ133,"PERSONAL ADULT",2.1,0,0.0185,8.81712,"""BGI filter looks very light, has visible hair. PAM was disconnected when arrive","2000-03-15 00:00:00","2000-03-17 00:00:00",
NJ034110,10444,NJ134,INDOOR,19,NULL,0.548,28.8,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
NJ034120,10445,NJ134,OUTDOOR,15,NULL,0.459,30.6777,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
NJ034130,20323,NJ134,"PERSONAL ADULT",25.4,NULL,0.233,9.18469,"","2000-03-15 00:00:00","2000-03-17 00:00:00",
NJ035110,10449,NJ135,INDOOR,NULL,0,-0.0015,NULL,"Harvard indoor pump was not working. Only ran 30 min","2000-04-05 00:00:00","2000-04-07 00:00:00",NA
NJ035120,10450,NJ135,OUTDOOR,27.1,NULL,0.699,25.8123,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ035130,20366,NJ135,"PERSONAL ADULT",45.5,NULL,0.402,8.8277,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ036110,10452,NJ136,INDOOR,13.5,NULL,0.387,28.6488,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ036120,10451,NJ136,OUTDOOR,9.1,NULL,0.252,27.6696,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ036130,20318,NJ136,"PERSONAL ADULT",24.3,NULL,0.2165,8.91862,"","2000-04-05 00:00:00","2000-04-07 00:00:00",
NJ037110,10516,NJ137,INDOOR,15.7,NULL,0.4575,29.1335,"","2000-04-12 00:00:00","2000-04-14 00:00:00",
NJ037120,10515,NJ137,OUTDOOR,14.8,NULL,0.399,26.9581,"","2000-04-12 00:00:00","2000-04-14 00:00:00",
NJ037130,20357,NJ137,"PERSONAL ADULT",26.1,0,0.428,16.427,"""BGI the final pump record is 5282 min. It can't be. The home NJBP07 was used ju","2000-04-12 00:00:00","2000-04-14 00:00:00",
NJ038130,20360,NJ138,"PERSONAL ADULT",100.8,NULL,0.915,9.08145,"","2000-04-18 00:00:00","2000-04-20 00:00:00",
NJ039110,10508,NJ139,INDOOR,20.9,NULL,0.592,28.3635,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
NJ039120,10512,NJ139,OUTDOOR,23.7,NULL,0.69,29.0937,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
NJ039130,20393,NJ139,"PERSONAL ADULT",52.2,NULL,0.447,8.56515,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
NJ039140,20394,NJ139,"PERSONAL CHILD 1",38.9,NULL,0.343,8.82187,"","2000-04-26 00:00:00","2000-04-28 00:00:00",
NJ040110,10557,NJ140,INDOOR,97,NULL,2.899,29.892,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ040120,10558,NJ140,OUTDOOR,17.3,NULL,0.4545,26.2887,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ040130,20397,NJ140,"PERSONAL ADULT",92.1,NULL,0.8075,8.76996,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ040140,20404,NJ140,"PERSONAL CHILD 1",115.3,NULL,1.043,9.04873,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ041110,10559,NJ141,INDOOR,46.4,NULL,1.344,28.957,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ041120,10560,NJ141,OUTDOOR,27.5,NULL,0.801,29.1248,"","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ041140,20398,NJ141,"PERSONAL CHILD 1",83.1,NULL,0.743,8.94192,"BGI personal child wasn't wearing PAM when we came for about an hour.","2000-05-03 00:00:00","2000-05-05 00:00:00",
NJ044110,10511,NJ144,INDOOR,37.2,NULL,1.095,29.3985,"","2000-05-09 00:00:00","2000-05-11 00:00:00",
NJ044120,10561,NJ144,OUTDOOR,30.9,NULL,0.857,27.7546,"","2000-05-09 00:00:00","2000-05-11 00:00:00",
NJ044130,20396,NJ144,"PERSONAL ADULT",37.4,NULL,0.312,8.33811,"","2000-05-09 00:00:00","2000-05-11 00:00:00",
NJ048110,10652,NJ148,INDOOR,8.6,NULL,0.259,29.9713,"","2000-05-23 00:00:00","2000-05-25 00:00:00",
NJ048120,10653,NJ148,OUTDOOR,17.2,NULL,0.519,30.2021,"Harvard outdoor flow change 15%.","2000-05-23 00:00:00","2000-05-25 00:00:00",
NJ048130,20448,NJ148,"PERSONAL ADULT",32.3,NULL,0.283,8.76862,"","2000-05-23 00:00:00","2000-05-25 00:00:00",
NJ049110,10571,NJ149,INDOOR,11.3,NULL,0.3355,29.8144,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ049120,10572,NJ149,OUTDOOR,28.5,NULL,0.8205,28.7829,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ049130,20451,NJ149,"PERSONAL ADULT",96.2,NULL,0.862,8.96242,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ051110,10569,NJ151,INDOOR,17.9,NULL,0.494,27.6097,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ051120,10570,NJ151,OUTDOOR,NULL,0,0.01,NULL,"Harvard outdoor not sampled. Pump stopped.","2000-05-30 00:00:00","2000-06-01 00:00:00",NA
NJ051130,20450,NJ151,"PERSONAL ADULT",60.2,0,0.5365,8.90718,"BGI personal adult filter contains a few fibers.","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ051140,20452,NJ151,"PERSONAL CHILD 1",39.2,NULL,0.3555,9.06932,"","2000-05-30 00:00:00","2000-06-01 00:00:00",
NJ054110,10573,NJ154,INDOOR,44.7,NULL,1.3475,30.1176,"","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ054120,10574,NJ154,OUTDOOR,10.7,0,0.2985,27.8487,"Harvard outdoor has hole near edge","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ054140,20454,NJ154,"PERSONAL CHILD 1",67.5,NULL,0.601,8.90349,"","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ055110,10656,NJ155,INDOOR,19.9,NULL,0.5735,28.7749,"","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ055120,10657,NJ155,OUTDOOR,14.4,NULL,0.4085,28.4293,"","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ055140,20457,NJ155,"PERSONAL CHILD 1",28.9,0,0.249,8.61126,"BGI personal child small hole near edge. Pump was off due to battery was off fro","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ057110,10654,NJ157,INDOOR,7.2,NULL,0.21,29.2189,"","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ057120,10655,NJ157,OUTDOOR,12.6,NULL,0.3715,29.5633,"","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ057130,20453,NJ157,"PERSONAL ADULT",25.6,NULL,0.233,9.09503,"","2000-06-06 00:00:00","2000-06-08 00:00:00",
NJ059110,10658,NJ159,INDOOR,17.5,NULL,0.511,29.2678,"","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ059120,10659,NJ159,OUTDOOR,33.6,NULL,0.985,29.311,"","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ059130,20456,NJ159,"PERSONAL ADULT",92,0,0.8285,9.00319,"BGI small hole near edge.","2000-06-13 00:00:00","2000-06-15 00:00:00",
NJ060110,10660,NJ160,INDOOR,12,NULL,0.3565,29.7825,"","2000-06-20 00:00:00","2000-06-22 00:00:00",
NJ060120,10661,NJ160,OUTDOOR,12.1,NULL,0.348,28.8405,"","2000-06-20 00:00:00","2000-06-22 00:00:00",
NJ060130,20458,NJ160,"PERSONAL ADULT",30.8,NULL,0.2735,8.878,"","2000-06-20 00:00:00","2000-06-22 00:00:00",
NJ063110,10732,NJ163,INDOOR,11.1,NULL,0.304,27.3904,"","2000-07-18 00:00:00","2000-07-20 00:00:00",
NJ063120,10733,NJ163,OUTDOOR,17.6,NULL,0.4895,27.7632,"","2000-07-18 00:00:00","2000-07-20 00:00:00",
NJ063130,20509,NJ163,"PERSONAL ADULT",46.3,0,0.371,8.00997,"BGI contains dust. Duration difference=4.8 hr;","2000-07-18 00:00:00","2000-07-20 00:00:00",
NJ065110,10664,NJ165,INDOOR,9.8,NULL,0.29,29.734,"","2000-06-27 00:00:00","2000-06-29 00:00:00",
NJ065120,10665,NJ165,OUTDOOR,10.8,NULL,0.314,29.1463,"","2000-06-27 00:00:00","2000-06-29 00:00:00",
NJ065130,20501,NJ165,"PERSONAL ADULT",26.4,0,0.1145,4.3448,"BGI short sample duration=1402 min. Duration difference=23.65 hrs.","2000-06-27 00:00:00","2000-06-29 00:00:00",
NJ068110,10723,NJ168,INDOOR,5.3,NULL,0.1545,29.0273,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
NJ068120,10724,NJ168,OUTDOOR,5.4,NULL,0.136,25.0378,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
NJ068130,20502,NJ168,"PERSONAL ADULT",10,NULL,0.092,9.18194,"","2000-07-05 00:00:00","2000-07-07 00:00:00",
NJ072110,10728,NJ172,INDOOR,8,NULL,0.218,27.2902,"","2000-07-11 00:00:00","2000-07-13 00:00:00",
NJ072120,10729,NJ172,OUTDOOR,17.1,NULL,0.4925,28.782,"","2000-07-11 00:00:00","2000-07-13 00:00:00",
NJ072140,20506,NJ172,"PERSONAL CHILD 1",54.4,NULL,0.4565,8.38558,"","2000-07-11 00:00:00","2000-07-13 00:00:00",
NJ076110,10736,NJ176,INDOOR,14.8,NULL,0.412,27.9025,"","2000-07-25 00:00:00","2000-07-27 00:00:00",
NJ076120,10737,NJ176,OUTDOOR,30.3,NULL,0.764,25.1838,"","2000-07-25 00:00:00","2000-07-27 00:00:00",
NJ076130,20511,NJ176,"PERSONAL ADULT",37.3,0,0.179,4.79928,"BGI  short sample duration=1537 min. duration difference=21.95 hrs;","2000-07-25 00:00:00","2000-07-27 00:00:00",
NJ076140,20537,NJ176,"PERSONAL CHILD 1",39,NULL,0.3415,8.76385,"","2000-07-25 00:00:00","2000-07-27 00:00:00",
NJ077110,10776,NJ177,INDOOR,43.1,0,1.2385,28.7205,"Harvard indoor small hole near edge. Pump failed at pickup. Flow taken in lab.","2000-08-01 00:00:00","2000-08-03 00:00:00",
NJ077120,10777,NJ177,OUTDOOR,33.9,NULL,0.9725,28.6853,"","2000-08-01 00:00:00","2000-08-03 00:00:00",
NJ077130,20541,NJ177,"PERSONAL ADULT",62.2,NULL,0.5545,8.90998,"","2000-08-01 00:00:00","2000-08-03 00:00:00",
NJ080110,10780,NJ180,INDOOR,27.1,0,0.669,24.7039,"Harvard indoor flow change 17%","2000-08-08 00:00:00","2000-08-10 00:00:00",
NJ080120,10781,NJ180,OUTDOOR,31.9,NULL,0.9675,30.3665,"","2000-08-08 00:00:00","2000-08-10 00:00:00",
NJ080130,20542,NJ180,"PERSONAL ADULT",52.1,0,0.479,9.19313,"BGI participant had to put PAM in the locker at factory work for 20 hrs(5PM to 3","2000-08-08 00:00:00","2000-08-10 00:00:00",
NJ084110,10923,NJ184,INDOOR,21.2,0,0.624,29.399,"""Harvard indoor pump stopped when arrived, but timer still working when pump off","2000-10-03 00:00:00","2000-10-05 00:00:00",
NJ084120,10924,NJ184,OUTDOOR,25,NULL,0.7455,29.8078,"","2000-10-03 00:00:00","2000-10-05 00:00:00",
NJ084130,20638,NJ184,"PERSONAL ADULT",46.5,NULL,0.4105,8.83528,"","2000-10-03 00:00:00","2000-10-05 00:00:00",
NJ085110,10852,NJ185,INDOOR,7,0,0.2015,28.8607,"Harvard indoor small hole near edge","2000-09-05 00:00:00","2000-09-07 00:00:00",
NJ085120,10853,NJ185,OUTDOOR,5.5,NULL,0.1615,29.5597,"","2000-09-05 00:00:00","2000-09-07 00:00:00",
NJ085130,20591,NJ185,"PERSONAL ADULT",13.1,NULL,0.1175,8.94833,"","2000-09-05 00:00:00","2000-09-07 00:00:00",
NJ088110,10793,NJ188,INDOOR,29.1,NULL,0.855,29.3508,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ088120,10861,NJ188,OUTDOOR,20.3,NULL,0.5955,29.3926,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ088130,20633,NJ188,"PERSONAL ADULT",39.5,NULL,0.352,8.90167,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ088140,20634,NJ188,"PERSONAL CHILD 1",81.2,NULL,0.7435,9.15864,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ089110,10862,NJ189,INDOOR,17.4,NULL,0.507,29.0936,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ089120,10863,NJ189,OUTDOOR,28.6,0,0.8915,31.1328,"Harvard outdoor flow change 18.8%","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ089130,20595,NJ189,"PERSONAL ADULT",24.5,NULL,0.2225,9.0676,"","2000-09-19 00:00:00","2000-09-21 00:00:00",
NJ090110,10926,NJ190,INDOOR,8.6,NULL,0.257,29.8891,"","2000-10-10 00:00:00","2000-10-12 00:00:00",
NJ090120,10927,NJ190,OUTDOOR,10.3,NULL,0.31,30.024,"","2000-10-10 00:00:00","2000-10-12 00:00:00",
NJ090130,20657,NJ190,"PERSONAL ADULT",42.8,NULL,0.3755,8.76334,"","2000-10-10 00:00:00","2000-10-12 00:00:00",
NJ091110,10957,NJ191,INDOOR,3.3,0,0.002,0.6117,"Harvard indoor only ran 1 hr","2000-10-17 00:00:00","2000-10-19 00:00:00",
NJ091120,10958,NJ191,OUTDOOR,29.5,NULL,0.849,28.7632,"","2000-10-17 00:00:00","2000-10-19 00:00:00",
NJ091130,20681,NJ191,"PERSONAL ADULT",21,0,0.168,7.98267,"BGI participant was not wearing PAM when seeing him. He left PAM in his car but","2000-10-17 00:00:00","2000-10-19 00:00:00",
NJ092110,11014,NJ192,INDOOR,37,NULL,1.0225,27.6452,"","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ092120,11015,NJ192,OUTDOOR,59.8,NULL,1.6775,28.0716,"","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ092130,20709,NJ192,"PERSONAL ADULT",50.3,0,0.295,5.87003,"BGI short pump duration=1841 min (duration difference=16 hr).","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ093110,10931,NJ193,INDOOR,28.3,0,0.0575,2.03385,"Harvard indoor only ran 3.5 hr.","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ093120,10956,NJ193,OUTDOOR,34.4,NULL,1.0035,29.1367,"","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ093130,20682,NJ193,"PERSONAL ADULT",41,NULL,0.371,9.0527,"","2000-10-24 00:00:00","2000-10-26 00:00:00",
NJ094110,11016,NJ194,INDOOR,8,NULL,0.2205,27.495,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
NJ094120,11036,NJ194,OUTDOOR,5.5,NULL,0.1505,27.612,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
NJ094130,20711,NJ194,"PERSONAL ADULT",28.4,NULL,0.248,8.72231,"","2000-10-31 00:00:00","2000-11-02 00:00:00",
