LinkID,HomeID,studytime,home,school_work,other_indoor,neighbor,out_far,car_open,car_clos
NJ091130,NULL,3675,1980,540,120,0,0,0,180
NJ090130,NULL,3675,1654.99,580.005,85.005,85.005,130.005,0,345
NJ089130,NULL,3675,2760,0,60,60,0,0,0
NJ088130,NULL,3675,2160,79.995,280.005,220.005,120,0,79.995
NJ087130,NULL,3675,2160,0,540,90,0,150,0
NJ086130,NULL,3675,1695,0,214.995,0,214.995,34.995,90
NJ085130,NULL,3675,2040,720,0,0,0,0,60
NJ084130,NULL,3675,2040,150,30,300,0,180,120
NJ083130,NULL,3675,2299.99,589.995,0,0,0,0,49.995
NJ081130,NULL,3675,2599.99,0,0,19.995,120,60,19.995
NJ080130,NULL,3675,1470,1470,0,0,0,0,0
NJ079130,NULL,3675,1665,532.5,120,0,150,322.5,0
NJ078130,NULL,3675,2400,0,60,0,0,120,120
NJ077130,NULL,3675,1980,630,30,30,0,90,0
NJ076130,NULL,3675,2835,0,0,0,0,0,0
NJ075130,NULL,3675,1800,900,0,0,0,240,0
NJ074130,NULL,3675,2760,0,0,0,0,0,120
NJ073130,NULL,3675,2100,0,0,259.995,199.995,139.995,240
NJ071130,NULL,3675,2640,450,30,30,0,90,0
NJ070130,NULL,3675,2050.01,330,120,0,150,0,289.995
NJ069130,NULL,3675,2880,0,0,0,0,0,0
NJ068130,NULL,3675,3000,0,0,30,0,60,0
NJ067130,NULL,3675,1680,0,0,855,210,30,0
NJ066130,NULL,3675,2895,0,0,0,0,0,0
NJ065130,NULL,3735,2209.99,0,0,580.005,100.005,49.995,0
NJ063130,NULL,3675,1185,960,0,135,0,0,120
NJ061130,NULL,3675,1860,0,150,270,120,120,0
NJ060130,NULL,3675,2445,0,0,360,0,0,90
NJ059130,NULL,3675,2880,0,0,0,0,0,0
NJ058130,NULL,3675,2835,0,0,60,0,0,0
NJ057130,NULL,3675,1725,0,120,300,0,30,0
NJ056130,NULL,3675,1980,510,0,340.005,0,12.495,127.5
NJ055130,NULL,3675,2205,375,150,0,30,0,0
NJ053130,NULL,3675,2182.5,0,480,172.5,37.5,37.5,0
NJ052130,NULL,3675,1740,960,0,60,0,30,90
NJ051130,NULL,3675,1440,480,469.995,19.995,60,75,244.995
NJ050130,NULL,3675,1606,12,499.995,168,330,228,126
NJ049130,NULL,3675,2022,492,10.005,372,22.005,22.005,0
NJ048130,NULL,3675,2499,0,58.995,204,118.995,0,58.995
NJ047130,NULL,3675,2520,0,150,75,0,0,165
NJ046130,NULL,3675,2160,240,259.995,0,109.995,229.995,0
NJ005130,NULL,3675,2460,0,60,240,30,0,30
NJ004130,NULL,3675,2650.01,0,19.995,169.995,0,0,100.005
NJ003130,NULL,3675,2265,0,495,135,15,30,0
NJ002130,NULL,3675,1980,30,0,600,0,0,30
NJ001130,NULL,3690,2433.75,356.25,0,82.5,41.25,30,11.25
NJ100130,NULL,3675,2880,0,0,0,0,0,0
NJ045130,NULL,3675,1939.99,979.995,0,19.995,0,0,60
NJ044130,NULL,3675,2865,0,0,0,0,0,0
NJ043130,NULL,3675,2700,0,0,60,0,0,180
NJ042130,NULL,3675,2220,0,0,0,0,0,0
NJ040130,NULL,3675,2880,0,0,0,0,0,0
NJ039130,NULL,3675,2130,480,0,270,0,0,0
NJ038130,NULL,3675,1980,420,0,0,480,0,0
NJ037130,NULL,3675,3105,0,0,30,0,0,120
NJ036130,NULL,3675,1740,420,120,0,0,0,0
NJ034130,NULL,3675,2805,0,0,45,0,60,0
NJ033130,NULL,3675,1800,990,0,0,0,30,60
NJ032130,NULL,3675,2100,570,0,270,0,0,60
NJ031130,NULL,3675,2730,0,0,0,0,0,0
NJ030130,NULL,3675,3000,0,0,0,0,0,0
NJ029130,NULL,3675,1800,825,0,60,30,7.5,52.5
NJ028130,NULL,3675,2880,0,0,0,0,0,0
NJ027130,NULL,3675,2370,0,0,60,180,0,150
NJ025130,NULL,3675,2760,0,60,0,0,0,60
NJ024130,NULL,3675,2377.5,0,495,0,0,0,127.5
NJ023130,NULL,3675,2460,0,0,90,0,0,90
NJ022130,NULL,3675,2668.5,0,0,130.995,63.495,36,36
NJ020130,NULL,3675,1675.01,240,75,0,280.005,495,235.005
NJ019130,NULL,3675,1639.99,0,409.995,30,0,0,199.995
NJ018130,NULL,3675,1594.99,210,510,109.995,0,0,94.995
NJ017130,NULL,3675,2449.99,0,319.995,0,0,0,49.995
NJ016130,NULL,3675,2010,289.995,0,169.995,0,120,169.995
NJ015130,NULL,3675,2895,0,0,0,0,0,0
NJ014130,NULL,3675,2070,0,510,240,60,0,0
NJ013130,NULL,3675,1920,660,0,210,30,0,0
NJ012130,NULL,3675,2490,160.005,0,19.995,0,0,210
NJ011130,NULL,3675,2940,0,0,0,0,0,0
NJ010130,NULL,3675,2610,0,0,90,120,30,150
NJ009130,NULL,3675,2760,0,0,60,0,0,0
NJ008130,NULL,3675,2880,0,0,0,0,0,0
NJ007130,NULL,3675,2689.99,0,0,105,34.995,0,154.995
NJ006130,NULL,3675,2580,0,0,120,60,60,0
TX057230,NULL,2820,2439.86,0,0,379.854,0,0,0
TX058230,NULL,2880,1800,959.904,0,59.904,0,59.904,0
TX059230,NULL,2820,1669.72,779.73,0,204.732,59.784,104.904,0
TX060230,NULL,3000,1740,834.9,0,339.9,0,84.9,0
TX061230,NULL,2880,2114.78,0,149.76,0,0,209.952,404.928
TX062230,NULL,2880,1754.78,929.952,0,104.832,0,89.856,0
TX063230,NULL,2940,1859.84,914.928,59.976,0,0,0,104.958
TX064230,NULL,2760,2534.78,0,79.764,9.936,89.976,0,44.988
TX065230,NULL,2820,2029.84,529.878,139.872,9.87,0,89.958,19.74
TX066230,NULL,3000,2790,0,19.8,0,109.8,69.9,9.9
TX067230,NULL,2880,2319.84,0,339.84,180,0,0,39.744
TX068230,NULL,3000,2340,0,79.8,225,0,0,354.9
TX069230,NULL,3180,2999.69,0,109.71,29.892,0,0,39.75
TX070230,NULL,9999,0,0,0,0,0,0,0
TX071230,NULL,2940,2124.74,379.848,79.968,229.908,0,0,124.95
TX072230,NULL,2940,2449.9,0,294.882,149.94,0,9.996,34.986
TX073230,NULL,2880,1519.78,504.864,74.88,59.904,74.88,19.872,24.768
TX074230,NULL,2820,1559.74,424.974,114.774,0,0,9.87,59.784
TX075230,NULL,3060,2494.82,0,14.994,104.958,14.994,0,9.792
TX076230,NULL,9999,0,0,0,0,0,0,0
TX077230,NULL,2940,1679.92,419.832,9.996,39.984,0,0,99.96
TX078230,NULL,2940,1694.91,419.832,69.972,114.954,0,0,54.978
TX079230,NULL,3060,1604.97,419.832,179.928,0,0,0,84.762
TX080230,NULL,2940,1714.9,0,259.896,54.978,0,0,189.924
TX081230,NULL,3300,2414.94,479.82,0,284.79,0,0,119.79
TX082230,NULL,2700,1609.74,359.91,0,109.89,0,0,29.97
TX101130,NULL,2880,2009.95,0,299.808,119.808,0,449.856,0
TX102130,NULL,2880,2664.86,0,84.96,0,0,129.888,0
TX103130,NULL,2940,1619.94,939.918,179.928,159.936,0,39.984,0
TX104130,NULL,2880,1969.92,699.84,0,149.76,0,0,59.904
TX105130,NULL,2880,1764.86,914.976,0,139.968,0,59.904,0
TX106130,NULL,2880,2039.9,0,409.824,0,0,129.888,299.808
TX101230,NULL,3120,2100.07,0,254.904,0,0,0,165.048
TX102230,NULL,9999,0,0,0,0,0,0,0
TX103230,NULL,2820,2169.99,419.898,0,29.892,170.046,29.892,0
TX104230,NULL,2940,2940,0,0,0,0,0,0
TX105230,NULL,2940,2820.05,0,59.976,0,0,0,59.976
TX106230,NULL,2820,2325.09,0,344.886,0,0,0,150.024
TX001130,NULL,2940,2554.86,0,109.956,204.918,0,0,69.972
TX002130,NULL,2940,1849.85,954.912,0,21.756,34.986,0,77.91
TX003130,NULL,2880,2639.81,0,0,180,0,0,59.904
TX004130,NULL,2940,2814.76,0,0,124.95,0,0,0
TX005130,NULL,2940,2779.77,0,114.954,0,0,0,44.982
TX006130,NULL,2820,2115,34.968,149.742,64.86,44.838,0,409.746
TX007130,NULL,2700,2579.85,0,0,0,39.96,79.92,0
