,pm25
1067620,8.7
150555,11.7
393781,9.1
371974,12.7
30798,3.7
669822,5.4
945334,2.8
727005,10.6
57537,12.1
463015,8.4
1079719,8.8
892842,6.3
947217,7.3
726783,13.9
469489,11.0
86188,11.8
356339,12.7
665653,16.0
832591,15.0
329086,11.7
842762,9.3
589856,4.9
1096072,6.6
831003,4.3
1102613,10.4
646982,7.8
149888,13.0
37404,2.3
24858,7.6
331768,9.6
28314,6.4
682753,6.9
1134042,4.6
217925,5.2
1013942,19.2
1047317,13.5
966546,9.8
84134,15.0
999211,17.0
55965,8.8
296350,6.4
487560,5.9
1147520,11.7
1055160,11.4
979535,10.8
1043948,10.0
542846,8.6
20619,9.9
1146457,7.3
1123352,9.9
930820,4.2
366308,12.6
1084880,9.1
800925,6.6
138159,10.6
609478,8.0
86786,7.3
90800,23.7
758031,5.9
595628,6.4
110872,16.3
974027,6.6
1081364,12.1
410404,8.6
1015449,10.3
115280,18.5
369261,8.8
1000818,9.1
403994,10.3
818605,9.2
140721,14.1
10728,5.9
939829,6.0
214814,5.1
144105,7.6
54069,14.1
65763,11.8
120242,7.0
601549,5.0
359009,6.1
383850,12.7
762371,8.7
103603,12.3
19494,15.6
287501,10.5
1052069,16.6
776618,6.5
997210,6.2
196546,15.4
283753,19.8
976553,2.8
75290,4.4
844314,9.0
667214,10.8
1152762,7.5
1089223,12.3
54729,8.5
923268,9.9
687886,9.0
1068643,8.2
419453,17.3
961704,5.0
161411,17.7
278444,8.2
141831,9.5
63275,10.0
196858,11.7
389081,7.9
240814,6.8
1077581,7.3
413083,11.8
83301,12.7
805535,11.1
791453,14.7
768476,10.0
22590,10.3
911608,10.2
17928,3.9
1037666,10.1
717403,7.4
1051397,11.6
41901,5.5
376308,16.9
451011,10.0
118073,6.6
656471,20.0
576058,19.8
102858,15.4
999977,8.9
952688,13.5
1131786,6.1
524404,19.4
1021344,7.8
49762,17.2
1054759,11.9
1043244,11.9
664316,13.2
874377,6.4
1095417,6.0
532697,8.1
1107522,6.8
838083,3.6
1131258,7.2
184477,7.4
200589,15.5
1033683,8.4
1106056,9.1
1059602,10.2
716712,11.2
997500,8.1
1111661,11.3
91780,21.6
1093608,4.8
318285,6.1
