,ozone
5922,25.0
5502,33.0
2292,34.0
4359,20.0
5548,33.0
5450,35.0
5104,59.00000000000001
5503,39.0
2554,63.0
2820,53.0
3527,64.0
4281,37.00000000000001
5504,39.0
4108,29.0
7672,22.0
2605,67.0
6481,31.0
2376,24.0
1542,16.0
4805,18.0
4633,27.0
5302,22.0
3309,50.0
4953,17.0
5953,21.0
4270,43.0
5619,35.0
1595,43.0
5779,20.0
3166,39.0
3065,26.0
8350,42.0
2552,57.99999999999999
3665,26.0
5111,28.0
2293,34.0
5943,37.00000000000001
2736,39.0
8671,47.0
7024,35.0
7215,43.0
2963,32.0
7021,28.0
5760,42.0
5561,33.0
5343,63.0
5751,28.0
7052,29.0
2124,40.99999999999999
4931,53.0
4747,32.0
5981,54.00000000000001
6248,33.0
3029,32.0
3046,34.0
1688,48.0
5372,48.0
5129,20.0
5917,42.0
6171,29.0
8124,32.0
4323,28.0
8505,22.0
3629,65.0
4823,9.000000000000002
4272,62.0
6684,15.0
3206,33.0
1878,55.99999999999999
8605,45.0
7370,20.0
5552,29.0
8330,35.0
2709,36.00000000000001
2479,103.0
2951,54.00000000000001
1883,27.0
7129,30.0
5355,31.0
1632,50.0
6056,25.0
2544,50.0
6342,18.0
1637,21.0
3129,22.0
2562,39.0
4644,44.00000000000001
5498,43.0
5707,53.0
3871,24.0
8183,47.0
5737,51.0
3852,11.0
2839,38.0
2481,85.0
4351,34.0
3478,23.0
5332,21.0
5182,22.0
4109,29.0
2848,55.99999999999999
2607,37.00000000000001
6410,28.0
8089,50.0
7465,63.0
8228,24.0
7459,57.0
3100,23.0
2635,33.0
6422,34.0
4796,24.0
5517,0.0
5499,29.0
2538,44.00000000000001
3512,52.00000000000001
2946,26.0
7542,38.0
6269,32.0
6781,51.0
7535,24.0
7151,35.0
2426,30.0
3044,31.0
6388,32.0
3491,19.0
5247,26.0
8327,28.0
7629,23.0
4980,24.0
3768,17.0
2881,49.0
4177,40.0
2040,79.0
8483,32.0
