,ambient_temp_c_in,airexrate_in,ambient_rh_in,pm25_pt_ou,rh_ou,dust_sand,rain_prcp,smoke_haze,temp_max,thunder,wind_avgspeed,wind_fastest_2min,fog_all,snow_all,rain_all,wind_dmg,wind_all,landuse_main_Residential,landuse_near_Park,landuse_near_Residential
354,26.9,0.169999,51.6337775,-0.5596056773548868,79.15903333333334,0,0.0,0,86.0,0,4.92,15.0,1,1,1,1,1,1,1,0
4,26.3,0.4496907,49.29,-0.4910425931648721,76.49076666666667,0,0.0,0,97.0,0,3.36,14.1,0,0,0,0,1,1,0,1
104,24.1298,0.181107,49.8267,-1.034905337636049,85.69843333333334,0,0.0,0,79.0,0,7.38,16.1,1,1,1,1,1,1,1,0
150,23.2338,2.81359,57.5722,-1.4423507820233294,86.63943333333332,0,0.0,0,75.0,0,9.62,25.1,0,0,0,0,1,1,1,0
146,25.265,0.38079,55.5523,0.487190745030646,83.44443333333334,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
400,19.4908,2.46537,49.3269,-3.2269795423751466,61.35333333333333,0,0.02,0,61.0,0,5.82,16.1,1,1,1,1,1,1,0,1
382,23.9,0.794978,61.813975,-1.1455742615287652,85.3856666666667,0,0.0,0,90.0,0,6.49,17.0,1,1,1,1,1,1,1,0
268,25.6,0.38139,41.2052825,0.4706829423375144,63.8889,0,0.0,0,100.0,0,6.49,15.0,0,0,0,0,1,1,1,0
326,23.9,0.15301099999999998,51.1371825,0.9178615016289672,77.6667,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
322,23.9,0.15301099999999998,51.1371825,0.9178615016289672,77.2608,0,0.0,0,99.0,0,5.14,19.9,1,1,1,1,1,1,1,0
196,23.4536,0.74341,59.8385,0.9322271171389668,80.94633333333333,0,0.0,0,86.0,0,4.03,14.1,1,1,1,1,1,1,1,0
32,24.17052,0.440217,48.761959999999995,1.6389126954678297,77.32666666666665,0,0.0,0,90.0,0,3.36,13.0,1,1,1,1,1,1,0,1
148,25.265,0.38079,55.5523,0.2478422690866437,82.70833333333333,0,0.36,0,75.0,1,5.59,17.9,1,1,1,1,1,1,1,0
386,21.1,0.17683800000000002,49.3269,0.5684671975991121,75.80556666666666,0,0.36,0,85.0,1,3.8,13.0,1,1,1,1,1,1,1,0
164,24.6028,0.420976,65.3775,-0.21070130380541008,85.16000000000003,0,0.0,0,78.0,0,14.54,23.9,1,1,1,1,1,1,1,0
