,ozone
20528,44.00000000000001
5533,24.0
34062,36.00000000000001
20989,12.0
20817,39.0
23731,43.0
32847,33.0
11644,22.0
23741,35.0
6901,40.0
27936,55.99999999999999
33940,40.99999999999999
22968,29.0
12875,28.0
5652,21.0
1816,39.0
32975,42.0
16055,55.0
34599,26.0
22329,32.0
34144,80.0
28217,18.0
33273,72.00000000000001
8378,16.0
14744,47.0
14710,20.0
3634,40.0
27039,40.0
13602,26.0
15068,55.99999999999999
26297,23.0
5437,22.0
32623,39.0
11849,52.00000000000001
20660,33.0
14550,40.0
20390,12.0
961,39.0
23371,34.0
21660,35.0
31475,52.00000000000001
23491,28.0
12450,21.0
8240,28.0
13628,33.0
29646,40.0
1020,27.0
30905,75.0
21332,16.0
10438,30.0
31852,67.0
34035,27.0
26832,22.0
32373,27.0
18627,21.0
9958,40.99999999999999
23851,47.0
15998,34.0
15581,16.0
23205,34.0
34468,27.0
626,30.0
32057,35.0
5733,73.0
9573,17.0
13443,26.0
34746,36.00000000000001
8736,43.0
31423,25.0
25194,29.0
24779,36.00000000000001
26025,17.0
32014,68.0
7121,55.0
20711,40.99999999999999
33990,55.99999999999999
11261,76.0
27390,23.0
9598,55.99999999999999
14091,26.0
23538,33.0
9571,23.0
16651,22.0
4863,24.0
13084,25.0
17840,18.0
25650,55.0
26281,28.0
6485,42.0
17563,62.0
8118,44.00000000000001
1249,19.0
7486,25.0
17449,49.0
31180,34.0
3639,46.0
4875,57.0
15403,47.0
25077,19.0
34064,26.0
4578,20.0
34474,44.00000000000001
28770,57.0
2929,18.0
15840,57.0
12294,33.0
31470,55.99999999999999
8230,20.0
7596,48.0
11768,24.0
31094,43.0
33799,31.0
18540,48.0
27839,52.00000000000001
31886,53.0
3731,39.0
3259,50.0
4965,40.0
22737,28.0
27870,26.0
15639,21.0
33805,67.0
30096,81.0
4162,50.0
33807,57.0
2404,38.0
4866,15.0
11431,40.99999999999999
24012,33.0
7853,57.0
15361,39.0
3412,32.0
9818,14.0
523,47.0
6898,40.99999999999999
5452,63.0
32917,28.0
17190,43.0
23618,45.0
12002,51.0
2807,44.00000000000001
13615,20.0
26972,40.0
4159,22.0
25958,48.0
27334,30.0
19046,29.0
33564,31.0
18360,44.00000000000001
8119,43.0
908,32.0
11592,35.0
8104,38.0
21385,37.00000000000001
23523,37.00000000000001
25028,27.0
30017,40.0
9842,70.0
12999,28.0
24314,20.0
20479,33.0
26574,16.0
32058,27.0
21802,29.0
104,57.99999999999999
25932,54.00000000000001
35018,38.0
1495,50.0
20919,25.0
18793,39.0
34946,21.0
32758,22.0
27264,31.0
3107,44.00000000000001
33917,23.0
26507,24.0
17045,38.0
21306,52.00000000000001
31856,59.00000000000001
5240,19.0
23716,34.0
16764,29.0
14736,33.0
16528,37.00000000000001
26240,87.0
14274,52.00000000000001
18646,31.0
11881,89.00000000000001
544,17.0
34026,50.0
29448,19.0
3197,37.00000000000001
3699,35.0
24059,17.0
17192,37.00000000000001
27404,33.0
451,23.0
23723,35.0
33933,34.0
16788,19.0
32697,52.00000000000001
17841,26.0
2634,45.0
17056,23.0
25098,27.0
20816,36.00000000000001
27473,40.99999999999999
28252,25.0
14363,42.0
30084,49.0
7238,29.0
26825,18.0
27556,18.0
25944,37.00000000000001
21847,19.0
25635,57.0
22738,22.0
3542,17.0
14402,59.00000000000001
2464,67.0
23174,12.0
25587,24.0
22726,30.0
33347,27.0
22719,40.0
27510,20.0
32692,47.0
31081,43.0
350,38.0
16642,12.0
17974,54.00000000000001
5673,57.99999999999999
15536,32.0
73,31.0
8333,42.0
21091,34.0
13992,24.0
8734,34.0
25247,16.0
31222,63.0
5181,23.0
1379,23.0
30252,38.0
11143,35.0
19768,44.00000000000001
2471,32.0
27981,24.0
21058,34.0
33730,26.0
2616,26.0
26194,43.0
20166,71.0
22494,22.0
17034,44.00000000000001
13890,24.0
25864,34.0
14419,32.0
13485,19.0
1273,40.99999999999999
28605,43.0
26884,40.99999999999999
3466,55.99999999999999
10685,44.00000000000001
26970,31.0
28340,38.0
9924,59.00000000000001
6048,46.0
7224,28.0
4196,42.0
11109,64.0
17904,32.0
33292,25.0
18157,28.0
4954,45.0
12868,33.0
28882,38.0
29605,50.0
12864,27.0
9148,28.0
33649,20.0
22340,35.0
20844,5.0
28731,29.0
7363,34.0
31956,36.00000000000001
30011,47.0
9856,28.0
11550,28.0
9929,48.0
26963,27.0
9703,14.0
32417,20.0
32344,39.0
9735,49.0
7102,44.00000000000001
17635,51.0
18000,32.0
5043,35.0
21195,39.0
32740,33.0
5758,29.0
30709,26.0
27160,12.0
8728,53.0
716,42.0
20626,30.0
12694,12.0
27266,38.0
8401,22.0
16523,34.0
29974,55.0
9605,68.0
25151,35.0
8891,40.99999999999999
26964,36.00000000000001
21889,16.0
20558,42.0
22683,39.0
6401,24.0
10126,27.0
10240,39.0
19343,26.0
4957,51.0
21028,21.0
33216,35.0
31778,47.0
12638,38.0
19583,40.99999999999999
32547,40.0
3659,57.99999999999999
21141,24.0
25195,26.0
28811,24.0
26265,70.0
2667,29.0
6467,23.0
24175,54.00000000000001
30102,40.99999999999999
25536,53.0
5511,24.0
6299,17.0
29276,33.0
11443,36.00000000000001
33422,45.0
6447,49.0
32112,27.0
7696,90.0
32492,34.0
12336,32.0
16896,36.00000000000001
28484,21.0
11916,59.00000000000001
12192,43.0
9671,18.0
25266,13.0
25242,10.0
6980,22.0
27027,25.0
192,65.0
32032,47.0
7087,57.99999999999999
12076,65.0
10273,24.0
10234,35.0
15161,33.0
28685,27.0
5500,35.0
4083,27.0
17751,19.0
9949,61.0
20864,39.0
21169,26.0
24457,19.0
12926,49.0
19772,44.00000000000001
24751,37.00000000000001
10684,28.0
4014,38.0
15686,49.0
10569,29.0
23359,27.0
7283,35.0
26521,31.0
30152,32.0
25530,35.0
34156,42.0
28159,21.0
26851,16.0
14867,31.0
9515,20.0
32322,42.0
14961,48.0
408,51.0
14354,30.0
11584,21.0
27460,36.00000000000001
1561,33.0
6043,19.0
32194,61.0
18241,29.0
14272,40.99999999999999
12682,22.0
24686,24.0
13287,44.00000000000001
29338,18.0
21795,36.00000000000001
25975,21.0
24131,19.0
23374,34.0
16752,25.0
18208,23.0
19937,30.0
19108,27.0
33609,51.0
26422,35.0
20068,19.0
17962,24.0
18081,22.0
14929,43.0
17595,29.0
12669,13.0
33010,32.0
23989,65.0
4878,54.00000000000001
3069,40.99999999999999
15245,34.0
12763,28.0
17586,47.0
17715,54.00000000000001
1182,60.0
3988,39.0
21400,49.0
2988,32.0
18248,33.0
4520,29.0
23923,46.0
29711,31.0
15564,52.00000000000001
20957,28.0
24200,29.0
2346,16.0
32625,48.0
30936,43.0
32584,54.00000000000001
17844,23.0
14998,46.0
3483,65.0
16850,40.99999999999999
7739,32.0
7199,44.00000000000001
34072,49.0
25253,20.0
12799,36.00000000000001
18078,17.0
17882,16.0
20945,42.0
21330,28.0
33157,30.0
