,no2
823603,21.8
167988,12.0
295950,5.3
297816,8.8
255424,13.7
349773,28.1
583055,19.3
472612,22.6
192399,6.2
216145,10.7
246607,2.6
1016407,33.2
564220,1.9
172938,27.1
771939,18.0
463912,13.6
87830,25.0
870987,34.7
22842,14.4
910155,7.1
78474,25.0
353061,15.9
130418,12.0
847915,8.5
321556,17.0
986183,20.5
220069,12.9
969649,16.7
349278,35.9
52159,6.0
291648,22.7
759705,21.0
496325,4.5
804072,15.1
490151,32.9
264432,26.1
634134,16.4
581778,34.1
127589,4.4
536858,10.0
888324,22.9
986574,4.7
788674,37.0
752053,37.2
762426,23.1
668077,5.6
829033,36.4
827081,13.0
621241,4.5
762151,7.2
31149,2.6
690094,56.4
67558,11.0
502445,12.2
786469,23.0
351612,14.0
467043,19.1
1027503,10.9
309110,2.3
19269,1.0
444878,33.1
154315,14.2
422190,19.6
584581,19.8
733491,11.4
375013,10.4
755999,42.4
862466,14.6
317963,2.5
928737,27.7
1042571,34.0
30051,32.6
759994,45.1
508016,9.1
89424,30.0
748011,24.3
542100,18.9
401384,6.0
246128,7.2
442745,0.9
492114,20.9
40008,22.0
730380,7.8
175671,16.1
99539,18.2
977821,44.0
807701,11.2
325646,7.4
140533,20.1
931354,14.4
242672,7.7
236455,32.4
656382,17.0
665009,13.2
85046,42.0
801703,26.7
596784,28.0
828,4.0
1041356,9.2
603454,35.1
344280,25.5
210233,7.3
628049,2.6
461640,17.9
1039806,12.7
131801,23.9
501146,18.3
502264,16.7
474659,29.6
119267,17.0
751959,54.0
975852,21.0
627787,20.8
448974,19.7
701658,16.8
338077,9.2
448180,15.5
734861,8.6
906131,13.4
244757,14.0
398505,12.4
573898,43.0
999353,13.5
37262,26.0
1000613,20.2
1010754,13.4
530765,35.0
698912,30.8
255300,13.9
456354,7.2
530867,3.8
800036,9.3
583596,38.5
470638,11.4
362301,13.8
955178,9.3
555127,3.5
461156,28.3
17694,19.9
785885,8.5
485869,2.3
147785,22.4
196851,9.1
336726,29.5
578079,19.1
987313,8.3
968272,26.4
557510,7.8
4689,6.8
985632,33.7
762189,10.3
588735,13.6
637412,34.1
29187,21.1
695782,17.8
808012,4.7
13770,18.0
399984,28.7
540184,40.8
274871,14.5
217738,31.2
663772,20.8
326690,8.9
251412,11.2
310158,1.6
242051,19.4
355751,27.2
578267,37.6
36540,7.7
764473,4.9
1005077,9.3
950729,26.5
1045889,16.3
41696,28.0
20286,14.2
276347,13.1
432917,16.9
69595,6.0
229245,31.0
250845,13.0
2196,3.0
429239,4.7
969145,27.9
224370,10.8
594546,10.2
914582,7.1
1027189,1.1
825859,20.9
996858,49.9
551998,21.8
128090,46.8
763488,9.7
288283,34.2
3096,14.7
925986,4.2
213082,24.9
1021348,12.0
745869,17.5
469871,2.8
65255,10.0
103043,12.0
935481,6.0
563087,14.8
607835,4.3
469926,27.2
939717,16.9
698314,43.2
918765,28.9
25083,5.5
709520,17.0
433007,4.8
802493,16.6
332942,21.0
916903,9.3
454443,6.4
505776,12.8
1018421,12.4
723334,10.0
786276,8.8
613873,19.8
406158,17.6
909050,4.2
643501,17.1
4662,8.8
336311,32.2
618797,8.6
167676,101.8
324867,4.9
844887,7.5
824598,11.5
150942,39.0
346385,13.6
261864,37.9
820479,10.9
153001,14.1
841496,2.9
192927,11.8
153546,33.2
913700,2.5
741113,36.9
960264,19.8
10584,6.0
443794,1.0
769982,41.0
675593,7.6
945853,2.6
676245,24.9
23679,10.8
683846,5.8
424384,12.5
870324,30.6
544440,28.4
5283,4.1
761335,44.4
385789,6.4
923888,4.0
224846,30.8
150691,26.1
1045200,4.6
922540,40.0
385835,9.4
254576,9.8
955933,9.7
390220,3.9
438886,3.7
459977,35.8
17739,4.2
69625,24.0
157537,34.0
571750,21.3
108768,19.8
40184,33.0
546798,19.9
648055,11.7
368080,15.6
985031,12.2
1003831,10.0
1033304,27.1
33822,38.4
555868,10.8
763186,10.9
860906,4.3
33795,17.7
711990,7.3
935240,13.9
1845,2.0
38293,29.0
644764,40.9
498655,16.8
773665,22.0
387704,26.3
844639,12.6
299771,18.9
835118,1.1
866448,7.7
183774,14.2
762627,14.0
331627,40.3
560042,1.7
1024652,20.3
938612,20.0
873617,15.7
704434,2.4
928935,33.5
848898,16.8
776073,27.0
385688,21.3
579290,23.3
122516,33.0
900814,19.7
834613,13.7
641550,29.8
190139,11.6
360934,13.0
87215,34.0
785725,23.1
49868,13.0
615866,13.8
566721,4.5
524479,23.8
493772,13.4
1044909,37.0
864848,16.4
613406,15.4
11664,4.3
104695,30.6
95890,6.1
203287,30.0
622836,9.9
724633,11.7
339490,67.8
941814,8.0
733439,18.3
679157,23.1
1047080,20.9
756926,49.9
97651,30.0
650663,6.0
235434,17.8
951859,25.9
1044668,16.7
66874,67.0
1047292,5.5
713175,12.1
492815,25.5
356036,21.1
759821,38.2
817971,5.1
694102,15.9
740094,15.0
157140,27.7
13806,2.8
708769,5.9
576130,27.6
114739,7.3
472126,15.8
25749,0.4
275663,29.7
714998,6.0
495791,40.3
583918,17.8
476944,15.2
374746,12.0
642408,22.2
95023,11.7
152528,27.7
1046447,4.9
450941,16.3
835757,38.6
1004413,13.8
1046516,37.1
698978,20.2
685683,16.5
256144,12.0
183699,2.1
355869,32.2
345340,43.6
648664,8.5
719067,3.9
1014500,29.6
395405,14.4
987241,5.4
170447,36.6
272525,37.2
1045264,14.7
24606,12.5
153898,18.8
148984,15.9
437974,13.6
886197,6.0
182040,1.8
606019,1.8
59228,10.0
673648,8.2
124710,14.0
746667,41.1
475293,77.3
604115,10.8
562734,0.9
180519,21.8
376565,7.3
86934,77.0
141514,15.4
644075,14.5
512830,19.7
