"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/29/2020","AQS","480391004","1","0.057","ppm","58","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/30/2020","AQS","480391004","1","0.032","ppm","30","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"03/31/2020","AQS","480391004","1","0.045","ppm","42","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/01/2020","AQS","480391004","1","0.051","ppm","47","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/02/2020","AQS","480391004","1","0.045","ppm","42","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/03/2020","AQS","480391004","1","0.043","ppm","40","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/04/2020","AQS","480391004","1","0.007","ppm","6","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/05/2020","AQS","480391004","1","0.045","ppm","42","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/06/2020","AQS","480391004","1","0.033","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/07/2020","AQS","480391004","1","0.024","ppm","22","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/08/2020","AQS","480391004","1","0.026","ppm","24","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/09/2020","AQS","480391004","1","0.039","ppm","36","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/10/2020","AQS","480391004","1","0.044","ppm","41","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/11/2020","AQS","480391004","1","0.044","ppm","41","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/12/2020","AQS","480391004","1","0.047","ppm","44","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/13/2020","AQS","480391004","1","0.039","ppm","36","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/14/2020","AQS","480391004","1","0.042","ppm","39","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/15/2020","AQS","480391004","1","0.049","ppm","45","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/16/2020","AQS","480391004","1","0.052","ppm","48","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/17/2020","AQS","480391004","1","0.043","ppm","40","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/18/2020","AQS","480391004","1","0.026","ppm","24","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/19/2020","AQS","480391004","1","0.029","ppm","27","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/20/2020","AQS","480391004","1","0.051","ppm","47","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/21/2020","AQS","480391004","1","0.054","ppm","50","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/22/2020","AQS","480391004","1","0.031","ppm","29","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/23/2020","AQS","480391004","1","0.06","ppm","67","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/24/2020","AQS","480391004","1","0.056","ppm","54","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/25/2020","AQS","480391004","1","0.047","ppm","44","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/26/2020","AQS","480391004","1","0.065","ppm","84","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/27/2020","AQS","480391004","1","0.054","ppm","50","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/28/2020","AQS","480391004","1","0.033","ppm","31","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"04/29/2020","AQS","480391004","1","0.056","ppm","54","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/01/2020","AQS","480391004","1","0.055","ppm","51","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/02/2020","AQS","480391004","1","0.051","ppm","47","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/03/2020","AQS","480391004","1","0.046","ppm","43","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/04/2020","AQS","480391004","1","0.038","ppm","35","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/05/2020","AQS","480391004","1","0.039","ppm","36","Manvel Croix Park","17","100.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
"05/06/2020","AirNow","480391004","1","0.054","ppm","50","Manvel Croix Park","18","75.0000","44201","Ozone","26420","Houston-The Woodlands-Sugar Land, TX","48","Texas","039","Brazoria","29.520443","-95.392509"
