Report: TAMIS002 - Raw Data Report (JMP) for 01/01/2008 - 09/01/2020
User: TAMIS User, Run Date: 09/11/2020 15:16:16

"?" represents a missing value.
"SOC" stands for Sampler Occurrence Code.  It distinguishes between different samplers of the same type at a site at the same time. This is a user defined code that once assigned should not be changed.
"AQS Code" is a unique code for the site.  It is a combination of the state FIPS code, county FIPS code and the site EPA code.

For more information about terminology and column definitions visit https://www17.tceq.texas.gov/tamis/index.cfm?fuseaction=report.terms&rt=1802
For questions about AMCVs visit http://www.tceq.texas.gov/toxicology/AirToxics.html/#list

State	Region	County	City	AQS Code	Site Name	Latitude	Longitude	Year	Month	Day	Date	Start Hour	Start Minute	Start Time	Duration	Sampler Type	SOC	Pm2.5 - Local Conditions (ug/m3 (LC)) <88101>
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	30	20080330	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	03	31	20080331	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	01	20080401	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.7
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	04	01	20080401	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	14
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	02	20080402	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	03	20080403	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	04	20080404	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	13.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	05	20080405	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	9.8
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	06	20080406	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.7
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	07	20080407	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	18.9
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	08	20080408	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	12.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	09	20080409	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	11.3
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	10	20080410	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	16.6
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	11	20080411	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	14.2
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	12	20080412	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	9.6
TEXAS	HOUSTON	HARRIS	Houston	482010024	Houston Aldine	29.9010364	-95.3261373	2008	04	12	20080412	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0003	7.4
TEXAS	HOUSTON	HARRIS	Houston	482011035	Clinton	29.7337263	-95.2575931	2008	04	13	20080413	00	00	00:00	24 HOURS	"PM2.5 (FRM)"	0001	10.7
