"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WV03","WV03_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-31","3.80",",,X"," 1145",",,X"," 1144",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","57",",,W","70",",,0","44",",,0",,,"  160",",,X","  160",",,X","0.0",",,0","15.0",",,X","17.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-01","5.82",",,X"," 1332",",,X"," 1331",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","61",",,W","72",",,0","49",",,0","    0",",,X","  290",",,X","  290",",,X","0.0",",,0","17.0",",,X","21.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-02","11.41",",,X"," 1006",",,X"," 1002",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","54",",,W","68",",,0","40",",,0","    0",",,X","  350",",,X","  350",",,X","0.0",",,0","23.0",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-03","6.04",",,X"," 1630",",,X"," 1037",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","49",",,W","68",",,0","30",",,0","    0",",,X","  110",",,X","  120",",,X","0.0",",,0","16.1",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-04","7.61",",,X"," 1645",",,X"," 1643",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","64",",,W","80",",,0","47",",,0","    0",",,X","  110",",,X","  110",",,X","0.0",",,0","17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-05","8.72",",,X"," 1329",",,X"," 1328",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","69",",,W","81",",,0","57",",,0",,,"  120",",,X","  110",",,X","0.0",",,0","17.9",",,X","21.9",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-06","3.13",",,X"," 1508",",,X"," 1025",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","66",",,W","80",",,0","52",",,0",,,"   90",",,X","   90",",,X","0.0",",,0","11.0",",,X","15.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,"    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-07","2.01",",,X"," 1355",",,X"," 1404",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","63",",,W","79",",,0","46",",,0",,,"   80",",,X","  120",",,X","0.0",",,0","11.0",",,X","15.0",",,X","    1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-08","2.68",",,X"," 1302",",,X"," 1434",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","62",",,W","79",",,0","45",",,0","    0",",,X","  100",",,X","  150",",,X","0.0",",,0","11.0",",,X","17.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-09","5.37",",,X"," 1637",",,X"," 1637",",,W","0.00",",,0,2400","0.0",",,0","0.0",",,0","62",",,W","80",",,0","44",",,0","    0",",,X","  110",",,X","  120",",,X","0.0",",,0","15.0",",,X","17.0",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,0",,,,,"    1",",,X",,,,,,,,,,,,,,
