"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WV03"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-30","8.05"," 1354"," 1357","0.20","0.0","0.0","68","84","51",,"  310","  310","0.0","25.1","33.1","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-10-31","3.80"," 1145"," 1144","0.00","0.0","0.0","57","70","44",,"  160","  160","0.0","15.0","17.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-01","5.82"," 1332"," 1331","0.00","0.0","0.0","61","72","49","    0","  290","  290","0.0","17.0","21.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-02","11.41"," 1006"," 1002","0.00","0.0","0.0","54","68","40","    0","  350","  350","0.0","23.0","33.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-03","6.04"," 1630"," 1037","0.00","0.0","0.0","49","68","30","    0","  110","  120","0.0","16.1","19.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-04","7.61"," 1645"," 1643","0.00","0.0","0.0","64","80","47","    0","  110","  110","0.0","17.9","21.9",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-05","8.72"," 1329"," 1328","0.00","0.0","0.0","69","81","57",,"  120","  110","0.0","17.9","21.9","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-06","3.13"," 1508"," 1025","0.00","0.0","0.0","66","80","52",,"   90","   90","0.0","11.0","15.0","    1",,,,,,,,,,"    1",,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-07","2.01"," 1355"," 1404","0.00","0.0","0.0","63","79","46",,"   80","  120","0.0","11.0","15.0","    1",,,,,,,,,,,,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-08","2.68"," 1302"," 1434","0.00","0.0","0.0","62","79","45","    0","  100","  150","0.0","11.0","17.0","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-09","5.37"," 1637"," 1637","0.00","0.0","0.0","62","80","44","    0","  110","  120","0.0","15.0","17.0","    1",,,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-10","3.13"," 1425"," 1418","0.00","0.0","0.0","69","81","57","    0","  140","  110","0.0","10.1","15.0","    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-11","2.46"," 1307"," 2004","0.00","0.0","0.0","68","83","53",,"  360","  360","0.0","10.1","15.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-12","4.25"," 1305"," 0638","0.00","0.0","0.0","67","82","52",,"   10","   10","0.0","13.0","13.0","    1",,,,,,,,,,,,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-13","2.91"," 1514"," 1639","0.00","0.0","0.0","63","81","45",,"   50","   30","0.0","11.0","13.0","    1",,,,,,,,,,,,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-14","1.79"," 1458"," 1457","0.00","0.0","0.0","63","81","44",,"  170","  160","0.0","8.1","10.1","    1","    1",,,,,,"    1",,,"    1",,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-15","3.13"," 1455"," 1454","0.00","0.0","0.0","67","84","49","    0","  360","  360","0.0","13.0","15.0","    1","    1",,,,,,"    1",,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-16","2.68"," 1055"," 1430","0.00","0.0","0.0","63","79","47","    0","   70","   80","0.0","10.1","15.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-17","4.70"," 1646"," 1632","0.00","0.0","0.0","61","78","43",,"  110","  100","0.0","14.1","16.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-18","7.38"," 1639"," 1643","0.00","0.0","0.0","65","82","48","    0","  120","  130","0.0","19.9","23.0","    1",,,,,,,,,,"    1",,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-19","6.71"," 1017"," 0946","0.00","0.0","0.0","72","84","60","    0","  190","  150","0.0","15.0","21.0",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-20","4.25"," 0915"," 0830","0.00","0.0","0.0","65","78","52",,"  360","  350","0.0","10.1","14.1",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-21","7.16"," 1556"," 1417","0.00","0.0","0.0","67","84","50",,"  130","  130","0.0","19.9","25.1","    1","    1",,,,,,"    1",,,"    1",,,,,,"    1",
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","1999-11-22","10.29"," 1500"," 1500","0.35","0.0","0.0","73","81","65","    0","  130","  130","0.0","28.0","31.1","    1",,"    1",,,,,,,,"    1",,,"    1",,,,
