"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT21","WT21_ATTRIBUTES"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-14","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","83","H,,S","92",",,W","77",",,W","  220",",,W","  330",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-15","8.72",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","86","H,,S","92",",,W","79",",,W","  150",",,W","  140",",,W","25.9",",,W","31.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-16","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","87","H,,S","96",",,W","80",",,W","  160",",,W","  150",",,W","21.0",",,W","25.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-17","7.38",",,W",,,"0.21",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","94",",,W","79",",,W","  140",",,W","  150",",,W","19.9",",,W","23.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-18","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","76",",,W","  150",",,W","  150",",,W","19.9",",,W","23.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-19","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","94",",,W","76",",,W","  150",",,W","  120",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-20","7.61",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","77",",,W","  150",",,W","  160",",,W","23.9",",,W","28.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-21","5.82",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","85","H,,S","95",",,W","76",",,W","  140",",,W","  140",",,W","23.0",",,W","27.1",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-22","3.80",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","95",",,W","78",",,W","  130",",,W","  120",",,W","16.1",",,W","19.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-23","9.84",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","83","H,,S","90",",,W","75",",,W","  360",",,W","   40",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-24","9.84",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","80","H,,S","90",",,W","68",",,W","   20",",,W","  340",",,W","18.1",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-25","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","78","H,,S","91",",,W","66",",,W","   10",",,W","   10",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-26","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","80","H,,S","94",",,W","69",",,W","  140",",,W","  110",",,W","15.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-27","6.93",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","84","H,,S","95",",,W","75",",,W","  140",",,W","  150",",,W","19.9",",,W","23.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-28","7.38",",,W",,,"0.04",",,W,2400","0.0",",,W","0.0",",,W","83","H,,S","92",",,W","75",",,W","  160",",,W","  160",",,W","19.9",",,W","23.9",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-29","6.26",",,W",,,"0.42",",,W,2400","0.0",",,W","0.0",",,W","84","H,,S","97",",,W","76",",,W","  150",",,W","  150",",,W","33.1",",,W","40.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-30","6.26",",,W",,,"0.01",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","97",",,W","74",",,W","  150",",,W","   80",",,W","36.0",",,W","40.9",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-07-31","6.04",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","81","H,,S","96",",,W","74",",,W","  150",",,W","  140",",,W","18.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-01","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","95",",,W","75",",,W","  120",",,W","  130",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-02","3.58",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","96",",,W","76",",,W","   20",",,W","   20",",,W","12.1",",,W","16.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-03","3.58",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","86","H,,S","94",",,W","78",",,W","   10",",,W","   10",",,W","12.1",",,W","14.1",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-04","5.59",",,W",,,"0.13",",,W,2400","0.0",",,W","0.0",",,W","85","H,,S","94",",,W","78",",,W","  140",",,W","  170",",,W","21.0",",,W","28.0",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-05","4.92",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","85","H,,S","96",",,W","77",",,W","  150",",,W","  150",",,W","17.0",",,W","19.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-06","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","86","H,,S","97",",,W","77",",,W","  150",",,W","  140",",,W","25.1",",,W","29.1",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-07","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","88","H,,S","99",",,W","80",",,W","  160",",,W","  170",",,W","14.1",",,W","19.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-08","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","89","H,,S","101",",,W","81",",,W","  170",",,W","  160",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-09","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","89","H,,S","101",",,W","82",",,W","  170",",,W","  170",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-10","5.59",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","88","H,,S","101",",,W","77",",,W","  110",",,W","  110",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-11","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","89","H,,S","101",",,W","79",",,W","  140",",,W","  160",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-12","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","89","H,,S","101",",,W","81",",,W","  140",",,W","  130",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-13","6.26",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","90","H,,S","103",",,W","81",",,W","  150",",,W","  250",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","29.98","-95.36","29.0","2019-08-14","5.82",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","90","H,,S","102",",,W","80",",,W","   30",",,W","   30",",,W","33.1",",,W","38.9",",,W",,,,,"    1",",,W",,,,,,,,,,,,,,
